std_temp,std_pH,conduct,o2,o2sat,co2,hardness,no2,no3,nh4,po4,cl,sio2,kmno4,k2cr2o7,bod,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14
0.66230253,23.72205259,2.973240869,5.343705815,4.446808555,0,3.546432983,0.403047085,2.362221952,0.232043564,0.189460454,1.459533263,1.663323967,1.02699042,0.841600372,0.203595677,1,0,0,0,0,1,1,0,1,1,1,1,1,1
2.025866561,23.72205259,3.298439089,4.100983532,4.07290273,0.155396203,3.388813739,0.34546893,2.178152709,0.210948695,0.52627904,1.739018356,2.217765289,0.837807975,0.712491224,0.150483761,0,1,0,1,1,1,1,0,1,1,1,1,1,0
3.253074189,23.42177344,2.740956426,3.645318695,4.157476667,0.699282915,2.955360819,0.46062524,3.098498924,0.0970364,0.315767424,0.77634748,3.188037603,0.851321006,0.707709403,0.247855607,1,1,0,0,1,0,1,0,1,1,1,0,1,1
3.75954083,24.02233174,2.657334027,3.231077934,3.877047298,0,3.034170441,6.966956751,1.932727052,0.147664086,0.210511616,0.817752679,2.633596281,0.918886166,0.736400325,0.41604334,1,1,0,0,1,1,1,1,1,1,1,1,0,0
1.92846913,23.1214943,2.332135807,4.515224293,4.429003515,0.699282915,3.112980063,0.633359705,2.147474502,0.189853825,0.357869747,1.076535173,2.598943698,0.851321006,0.827254911,0.345227453,0,0,1,0,0,1,0,0,1,0,0,1,0,1
2.863484466,23.42177344,2.833870203,3.479622391,3.805827141,0.815830068,3.704052227,0.23031262,2.05543988,0.147664086,0.39997207,1.469884563,2.217765289,1.189146803,0.937236778,0.637342989,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0.50646664,23.1214943,2.796704692,6.089339184,4.958703433,0.155396203,3.191789685,0.287890775,2.454256574,0.160321008,0.12630697,1.045481274,3.084079855,0.716190688,0.535563873,0.212447663,0,1,0,0,1,1,0,1,1,0,1,0,0,0
1.071371739,23.42177344,2.963949491,4.680920597,4.117415328,0,3.349408929,0.403047085,3.03714251,0.185634851,0.294716262,1.148994271,2.737554029,0.864834038,0.463836568,0.300967523,0,1,0,0,0,0,0,1,1,1,0,0,1,1
2.532333201,23.1214943,1.904732432,3.811015,4.019487613,0.427339559,2.521907899,0.633359705,1.41119753,0.307985094,0.315767424,0.703888382,1.524713636,0.891860102,0.473400209,0.230151635,0,0,0,0,0,1,0,0,1,0,1,0,1,1
0.75969996,24.62289003,3.094028779,5.343705815,4.504674932,0.427339559,3.585837794,0.287890775,2.300865538,0.156102034,0.189460454,1.366371565,2.668248864,0.810781911,0.583382076,0.239003621,0,1,0,0,0,1,0,0,1,1,1,0,1,0
3.623184427,24.32261088,2.68520816,3.562470543,4.215343044,0.155396203,3.112980063,0.57578155,1.595266773,0.118131269,0.084204646,0.859157878,2.217765289,0.986451325,0.363418342,0.239003621,1,1,0,0,1,1,1,1,0,0,1,0,0,0
4.01277415,22.82121515,3.447101132,2.85826125,3.512043994,0,3.625242605,0.863672325,2.024761673,0.156102034,0.842046464,1.449181963,2.564291116,1.09455558,0.745963966,0.442599298,1,1,1,0,1,1,1,1,1,0,0,1,0,1
0.681782016,22.82121515,3.038280513,5.675098423,4.736140443,0.427339559,3.82226666,0.403047085,3.159855339,0.164539982,0.105255808,1.542343661,1.732629132,1.216172866,0.750745786,0.327523481,0,1,0,1,0,1,1,0,1,1,1,0,1,1
2.045346047,23.72205259,2.583003005,4.473800217,4.451259815,0.271943356,3.625242605,0.46062524,3.25188996,0.232043564,0.715739494,1.356020266,2.183112707,0.851321006,0.769873067,0.283263551,0,0,0,1,1,1,1,1,1,1,1,1,0,1
3.486828023,23.42177344,2.954658114,4.142407608,4.838519418,0.815830068,3.034170441,0.403047085,2.331543745,0.092817426,0.189460454,0.973022175,3.222690186,0.891860102,0.698145763,0.159335747,0,1,0,1,1,0,1,1,1,1,1,0,1,1
1.908989644,21.92037771,2.592294383,4.639496521,4.540285011,2.719433559,3.388813739,0.57578155,2.975786096,0.126569217,0.294716262,1.086886473,2.598943698,0.743216752,0.411236545,0.265559579,0,0,0,0,1,1,1,0,1,0,1,0,1,1
0.623343557,23.42177344,2.824578826,5.467978043,4.526931231,0.155396203,3.585837794,0.287890775,3.343924582,0.071722556,0.084204646,1.20075077,3.222690186,0.689164624,0.425582006,0.106223832,0,1,0,0,1,1,0,0,1,1,0,0,0,1
1.051892253,22.82121515,3.326313222,4.805192826,4.215343044,0.427339559,3.743457038,0.403047085,4.632409283,0.236262538,0.315767424,1.418128064,2.806859194,0.72970372,0.368200163,0.212447663,0,0,0,1,1,1,1,1,1,1,1,1,0,0
2.610251146,22.520936,2.006937587,3.769590923,4.010585093,0.543886712,2.482503088,0.921250479,1.810014223,0.194072799,0.315767424,0.80740138,1.69797655,0.891860102,0.588163896,0.327523481,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.935015336,24.62289003,3.363478733,6.420731793,5.541818469,0.815830068,3.861671471,0.34546893,3.374602789,0.130788191,0.189460454,1.531992361,2.391028202,0.783755847,0.511654771,0.380635396,0,0,0,1,0,0,0,0,1,0,1,1,1,1
3.545266482,23.72205259,1.886149676,3.355350163,3.939364936,0.155396203,3.073575252,0.748516015,1.717979602,0.126569217,0.12630697,0.859157878,2.113807541,1.121581643,0.506872951,0.203595677,1,0,1,0,1,1,1,1,1,1,1,0,0,0
4.636117707,24.32261088,3.3356046,4.722344673,6.129384765,0,3.704052227,0.46062524,2.607647609,0.084379478,0.421023232,1.59410016,2.460333368,1.108068611,0.827254911,0.318671495,1,1,1,0,1,0,1,1,1,0,0,0,1,0
0.66230253,22.82121515,3.121902912,5.799370651,4.825165639,0,3.625242605,0.403047085,2.669004024,0.215167669,0.210511616,1.563046261,1.559366219,1.324277121,1.052000465,0.54882313,1,0,0,0,1,1,1,0,1,1,0,0,1,1
2.045346047,24.62289003,2.490089228,4.556648369,4.535833751,0,3.546432983,0.46062524,2.883751474,0.215167669,0.673637171,1.273209868,2.044502376,0.783755847,0.765091247,0.247855607,0,0,0,0,1,1,1,0,1,0,1,0,1,0
3.623184427,24.32261088,2.852452959,3.769590923,4.460162334,0,2.99476563,0.46062524,2.05543988,0.113912295,0.315767424,0.77634748,3.153385021,0.824294943,0.664673021,0.194743691,0,0,1,0,1,1,1,0,1,1,1,0,1,0
1.889510158,22.82121515,2.36000994,4.142407608,4.046195171,2.058999695,3.112980063,0.69093786,2.515612988,0.113912295,0.357869747,1.117940372,2.529638533,0.87834707,0.502091131,0.230151635,0,0,0,0,1,1,0,1,1,0,1,0,0,0
0.584384585,24.02233174,2.629459894,5.219433586,4.295465721,0.155396203,3.270599307,0.287890775,2.638325817,0.118131269,0.105255808,1.086886473,3.118732438,0.702677656,0.779436708,0.08851986,1,0,0,0,1,1,0,0,1,1,0,0,0,0
1.071371739,23.42177344,3.121902912,4.888040978,4.299916981,0.699282915,3.507028172,0.46062524,2.82239506,0.240481512,0.294716262,1.273209868,2.633596281,0.770242815,0.277345577,0.327523481,0,0,0,0,1,1,0,1,1,1,1,0,0,1
2.571292174,23.42177344,1.960480698,3.728166847,3.948267455,0.427339559,2.482503088,0.748516015,1.932727052,0.07594153,0.357869747,0.631429284,1.351450723,0.797268879,0.588163896,0.336375467,0,0,0,0,0,1,0,0,1,0,0,0,1,1
0.701261502,24.02233174,3.21481669,4.97088913,4.157476667,0.971226271,3.782861849,0.34546893,2.82239506,0.17297793,0.147358131,1.407776764,2.460333368,0.986451325,0.707709403,0.557675116,1,0,0,0,1,1,0,0,1,0,1,0,0,0
3.50630751,23.72205259,2.471506472,3.521046467,4.117415328,0,3.034170441,0.633359705,1.810014223,0.126569217,0.12630697,0.859157878,2.079154959,1.054016484,0.64554574,0.221299649,1,1,0,1,1,1,1,0,1,0,1,0,0,0
4.246527984,23.72205259,3.028989135,3.438198315,4.31327076,0,3.743457038,0.34546893,2.423578366,0.506276867,0.252613939,1.418128064,2.321723037,1.283738025,0.698145763,0.292115537,1,1,0,0,0,1,1,1,1,0,0,0,0,0
